Acquisition ... fait 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Mesures en acceleration 
Courant;Position;Vitesse 
1673;1430;191 
1349;1432;192 
1188;1435;192 
1457;1437;193 
1457;1439;193 
1457;1442;190 
1015;1444;194 
1349;1447;194 
1687;1450;192 
1446;1452;193 
1446;1455;193 
1446;1457;194 
1336;1459;194 
1470;1462;191 
1353;1464;195 
1412;1467;195 
1836;1469;192 
1836;1472;194 
1843;1475;194 
1222;1477;194 
1420;1479;194 
1556;1482;191 
1527;1484;194 
1527;1487;194 
1527;1489;193 
1329;1491;193 
1082;1494;193 
1311;1497;194 
1373;1499;194 
1666;1502;192 
1666;1504;194 
1584;1507;194 
1275;1509;193 
1461;1511;193 
1451;1514;195 
1426;1516;194 
1426;1519;194 
1426;1522;192 
1326;1524;196 
1513;1527;196 
1163;1529;194 
1408;1531;194 
1408;1534;195 
1408;1536;195 
1009;1539;195 
1274;1541;193 
1472;1543;193 
1695;1546;196 
1318;1548;193 
1318;1551;193 
1318;1554;194 
1381;1556;194 
1218;1559;194 
1162;1561;192 
1512;1563;192 
1512;1566;193 
1512;1568;193 
1225;1571;193 
1504;1573;193 
1543;1576;193 
1259;1579;193 
1240;1581;191 
1240;1583;191 
1792;1586;194 
1271;1588;193 
1341;1591;193 
1583;1593;194 
1682;1595;194 
1682;1599;194 
1682;1601;192 
1161;1603;192 
1580;1606;195 
1274;1608;192 
1376;1611;192 
1376;1613;194 
1376;1615;194 
1007;1618;195 
1240;1620;191 
1310;1623;191 
1605;1626;194 
1543;1628;193 
1543;1631;193 
1543;1633;193 
1302;1635;193 
1210;1638;194 
1436;1640;192 
1388;1643;192 
1388;1645;194 
1388;1648;193 
1314;1651;193 
887;1653;194 
988;1655;194 
1403;1658;194 
1486;1660;193 
1486;1663;193 
1451;1665;195 
1279;1667;195 
1488;1670;193 
1163;1672;196 
1332;1675;196 
1332;1678;195 
1332;1680;193 
1049;1683;193 
1200;1685;196 
1494;1687;196 
1686;1690;193 
1686;1692;196 
1686;1695;196 
1228;1697;195 
1505;1699;195 
1214;1702;193 
1175;1705;196 
1593;1707;196 
1593;1710;194 
1593;1712;196 
687;1715;196 
1301;1717;197 
1536;1719;197 
1616;1722;193 
1616;1724;198 
1616;1727;198 
1337;1729;195 
1343;1731;195 
1464;1734;197 
1384;1736;198 
878;1739;198 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
 
 
Mesures en deceleration 
Courant;Position;Vitesse 
0;1741;195 
0;1743;195 
0;1746;200 
0;1748;203 
0;1751;203 
0;1753;210 
0;1755;210 
0;1757;218 
0;1759;218 
0;1762;220 
0;1763;220 
0;1766;230 
0;1767;230 
0;1770;234 
0;1771;234 
0;1774;243 
0;1775;243 
0;1777;251 
0;1779;251 
0;1781;256 
0;1783;256 
0;1785;267 
0;1787;267 
0;1788;274 
0;1790;274 
0;1791;274 
0;1793;285 
0;1795;285 
0;1796;296 
0;1798;296 
0;1799;296 
0;1801;302 
0;1803;302 
0;1804;319 
0;1806;319 
0;1807;319 
0;1808;329 
0;1810;329 
0;1811;329 
0;1812;347 
0;1814;347 
0;1815;347 
0;1816;364 
0;1818;364 
0;1819;364 
0;1820;377 
0;1822;377 
0;1823;377 
0;1824;405 
0;1825;405 
0;1826;405 
0;1827;405 
0;1828;425 
0;1829;425 
0;1831;425 
0;1831;425 
0;1832;460 
0;1833;460 
0;1835;460 
0;1835;460 
0;1836;496 
0;1837;496 
0;1838;496 
0;1839;496 
0;1840;528 
0;1841;528 
0;1842;528 
0;1843;528 
0;1843;528 
0;1844;586 
0;1845;586 
0;1846;586 
0;1846;586 
0;1847;586 
0;1847;586 
0;1848;639 
0;1849;639 
0;1850;639 
0;1851;639 
0;1851;639 
0;1851;639 
0;1852;714 
0;1853;714 
0;1854;714 
0;1854;714 
0;1855;714 
0;1855;714 
0;1856;804 
0;1856;804 
0;1857;804 
0;1858;804 
0;1858;804 
0;1859;804 
0;1859;804 
0;1859;804 
0;1860;903 
0;1860;903 
0;1861;903 
0;1862;903 
0;1862;903 
0;1863;903 
0;1863;903 
0;1863;903 
0;1863;903 
0;1864;1105 
0;1864;1105 
0;1865;1105 
0;1865;1105 
0;1865;1105 
0;1866;1105 
0;1866;1105 
0;1867;1105 
0;1867;1105 
0;1867;1105 
0;1867;1105 
0;1867;1105 
0;1868;1406 
0;1868;1406 
0;1868;1406 
0;1869;1406 
0;1869;1406 
0;1869;1406 
0;1870;1406 
0;1870;1406 
0;1870;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1872;2217 
0;1872;2217 
0;1872;2217 
0;1872;2217 
0;1872;2217 
0;1872;2217 
0;1872;2217 
0;1872;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1873;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
0;1874;2217 
